question,entity,attribute,answer,predict_answer
城关镇的中文名是什么啊？,城关镇,中文名称,城关镇,城关镇[临澧县]
你知道圣地亚哥的英文名字是什么吗？,圣地亚哥,外文名称,santiago de veraguas,saint jakob
平壤之战是那一年打起来的？,平壤之战,时间,明万历二十一年 （ 1593 ）,中国；日本
动物地鸠属是属于什么目呀？,地鸠属,目,今颚总目(neognathae),娃娃的礼物
我想知道王强是什么学校毕业的？,王强,毕业院校,湖北音乐学院,第二军医大学
你知道万达广场的是在什么地方吗？,万达广场,地址,泉州浦西,福州
龙泉镇是在中国的什么地方啊？,龙泉镇,所属地区,中国 四川,玉米、小麦、地瓜、花生、苹果、梨、大樱桃、杏
我想知道文峰塔是在什么地方的？,文峰塔,位置,甘肃省陇西县文峰镇迎春堡村,天马镇南部的文笔峰（塔山）之巅
第十二夜这部片子要演多久呀？,第十二夜,片长,155 min,frances barber
你知道因为有你是谁作的曲吗？,因为有你,谱曲,潘玮柏,j.p.m组合
恒大金碧天下是什么样子的房子啊？,恒大金碧天下,物业类别,别墅,联排 独栋 双拼
关帝庙是在什么地方的庙宇？,关帝庙,定义,山西省阳泉市庙宇,山东省汶上县
你知道燕太子丹是什么时候的人吗？,燕太子丹,国 籍,春秋战国时期北燕国,华夏
告诉我喜欢你这首歌曲有多长时间？,喜欢你,歌曲时长,03：59,为已故足球名宿谭江柏之子
定春之个玩具的地位是什么啊？,定春,地位,动漫《银魂》中的吉祥物,秦威
你知道白沙镇火车站叫什么名字吗？,白沙镇,火车站,郑州市新东站,赣州市章贡区五洲大道31号
恒大金碧天下是在什么地区的楼?,恒大金碧天下,城区,眉山市彭山县,恒大金碧天下
干扰的学科属于什么系统的？,干扰,学科,系统学,谏山创
地下铁公司是那个？,地下铁,公司,emi virgin,世界各地 包括：  香港  中国大陆  英国伦敦  瑞典斯德哥尔摩 澳大利亚墨尔本 及其他
100位为新中国成立作出突出贡献的英雄模范人物的这本书是什么单位？,100位为新中国成立作出突出贡献的英雄模范人物,单位,册,北京工业大学出版社
我爱你这首歌曲的演唱者是谁？,我爱你,演唱者,萧贺硕,王菲
你知道月光是谁作曲的吗？,月光,作词,杨瑞代,洪信杰
你知道哈利·波特与魔法石是什么书号吗？,哈利·波特与魔法石,书号,isbn 978-7-02-003343-0,isbn 7-02-003344-x
全美超级模特儿新秀大赛什么时候播出啊？,全美超级模特儿新秀大赛,播映,the cw,2009年3月4日－2009年（美国）
倩女幽魂是什么公司制片的？,倩女幽魂,制片商,电影工作室 新艺城,温嘉文 钟珍 叶百全 周国忠
钨丝熔点是多少？,钨,熔点,3410±20℃,杭州桃源岭
我想知道一骑当千是什么时候播出啊？,一骑当千,其他,uhf等电视台：2007年4月起播放,长谷川真也
我是歌手的主持人是谁啊？,我是歌手,主持人,李素罗、尹道贤、尹钟信、朴明秀、卢洪哲、郑真英,萧贺硕
你知道埃德政府是什么名字吗？,埃德,政府,sonja edvardsen（工党）,20个有野心的国王
狱中题壁什么时候写的？,狱中题壁,创作时间,1922年,《列朝诗集》
我想知道埃迪·约翰逊是由多高啊？,埃迪·约翰逊,登录体重,180英磅（82千克）,6英尺2英寸（1.88米）
甲酸的学名是什么啊？,甲酸,中文别名,蚁酸 过氧化甲酸,c12h6o3
液体刀是什么疗法啊？,液体刀,基础,药刀疗法,风湿
斯卡是什么地方cv？,斯卡,声优,日本：置鲇龙太郎（03）,圣灵系
加纳的政治中心是什么城市吗？,加纳,首都,阿克拉（accra）,阿克拉
你知道今夜谁来共舞是谁写的词吗？,今夜谁来共舞,作词者,蔣慧琪,双子叶植物纲(magnoliopsida)，又称木兰纲。
金是在多少温度沸腾的啊？,金,沸点,2856℃,（-10～45）℃
白石站是属于什么地方管辖的啊？,白石站,所属业者,北海道旅客铁道（jr北海道）,地面车站
鸳鸯眼是在什么地方的病啊？,鸳鸯眼,发病部位,瞳孔,坏习惯，基因问题，遗传因素
辛香8号是什么蔬菜啊？,辛香8号,品种类别,辣椒,适宜于湖南全省种植
你知道西游记的片头曲是什么吗？,西游记,主题曲,《敢问路在何方》,90分钟
你知道香港有什么明星吗？,香港,地域名人,李小龙、周润发、成龙,广州华资贸易
"你知道2-氨基-4-甲基-6-甲氧基-1,3,5-三嗪的CAS号是什么吗？","2-氨基-4-甲基-6-甲氧基-1,3,5-三嗪",cas号,1668-54-8,140.14
你知道brmfcmon.exe这个软件的名称是什么吗？,brmfcmon.exe,进程名称,brother status monitor,no
gt赛车是什么时候做成的啊？,gt赛车,发行日,gran turismo (1997年12月23日) gran turismo 2 (1999年12月11日) gran turismo 3 a-spec (2001年4月28日) gran turismo concept 2001 tokyo (2002年1月1日) gran turismo 4 “prologue” （2003年12月4日） gran turismo 4 (2004年12月28日) gran turismo 5 “prologue” （2007年12月13日） gran turismo psp (2009年10月1日) gran turismo 5 (2010年11月25日)) gran turismo 6 (2013年12月6日),polyphony digital
你知道岛的外语怎么拼吗？,岛,英文,island,英文、中文（第三方汉化）
我想知道中央区是在什么地方成立的吗？,中央区,都道府县,兵库县,神户市（滩区、兵库区、北区）
我想知道lmanager.exe是什么公司做的啊？,lmanager.exe,出品者,宏碁,否
你知道茴香的英文名是什么啊？,茴香,学名,foeniculum vulgare,茴香
你知道第一时间在什么电视台播出吗？,第一时间,播出频道,辽宁广播电视台,英属香港 1983年
我想知道东风水库可以装多少水啊？,东风水库,正常库容,1537万立方米,33.6平方公里
你知道倚天屠龙记是存在什么地方吗？,倚天屠龙记,媒介,软盘,爱上张无忌
你知道唐河在什么地方吗？,唐河,河口,河北安新县,山西浑源、灵丘、河北保定市
你知道陈杨波是什么时候开始火的吗？,陈杨波,出道地区,内地,仙女湖
我想知道乔·内森是做什么运动的？,乔·内森,打击,投球： 右,761
我想知道2012第七届中国（青岛）国际低碳照明展览会在哪个城市开展啊？,2012第七届中国（青岛）国际低碳照明展览会,举办城市,青岛,2012/07/24 至 2012/07/25
我想知道犬角膜炎是什么时候发病啊？,犬角膜炎,季节分布,四季,干性角膜炎可口服维生素a、维生素b、维生素c、维生素d。
你知道圣伯多禄圣保禄主教座堂是什么风格的啊？,圣伯多禄圣保禄主教座堂,建筑风格,新哥特式,香港
荷载频遇值这个的范围是什么啊？,荷载频遇值,2,一般在10％以内,国际标准iso2394:1998
二丑夺命丹是什么制作成的？,二丑夺命丹,药物组成,木通1两，香附（醋炒）1两,上为末，以白酒浆同老米打糊为丸
你知道秦艽是什么吗？,秦艽,亚 科,龙胆亚科 subfam. gentianoideae,大花秦艽
你知道逼瘟丹是什么吗？,逼瘟丹,制法,研末,时邪
你知道远大医药一共有多少资产吗？,远大医药,营收,19亿元,30亿元
雪佛兰prizm有多长啊？,雪佛兰prizm,车型尺寸,4.427米 1.649米 1.364米,1038千克
你知道是妈妈是棵树这本书是是妈妈给我的？,妈妈是棵树,出版社,北京大学出版社,9.7873E+12
