question,entity,attribute,answer,predict_answer
城关镇的中文名是什么啊？,城关镇,中文名称,城关镇,城关镇[临澧县]
动物地鸠属是属于什么目呀？,地鸠属,目,今颚总目(neognathae),娃娃的礼物
我想知道王强是什么学校毕业的？,王强,毕业院校,湖北音乐学院,第二军医大学
你知道万达广场的是在什么地方吗？,万达广场,地址,泉州浦西,福州
我想知道文峰塔是在什么地方的？,文峰塔,位置,甘肃省陇西县文峰镇迎春堡村,天马镇南部的文笔峰（塔山）之巅
第十二夜这部片子要演多久呀？,第十二夜,片长,155 min,1988年
关帝庙是在什么地方的庙宇？,关帝庙,定义,山西省阳泉市庙宇,山东省汶上县
告诉我喜欢你这首歌曲有多长时间？,喜欢你,歌曲时长,03：59,为已故足球名宿谭江柏之子
定春之个玩具的地位是什么啊？,定春,地位,动漫《银魂》中的吉祥物,秦威
你知道白沙镇火车站叫什么名字吗？,白沙镇,火车站,郑州市新东站,赣州市章贡区五洲大道31号
干扰的学科属于什么系统的？,干扰,学科,系统学,谏山创
地下铁公司是那个？,地下铁,公司,emi virgin,世界各地 包括：  香港  中国大陆  英国伦敦  瑞典斯德哥尔摩 澳大利亚墨尔本 及其他
你知道月光是谁作曲的吗？,月光,作词,杨瑞代,黄戚尔
你知道哈利·波特与魔法石是什么书号吗？,哈利·波特与魔法石,书号,isbn 978-7-02-003343-0,isbn 7-02-003344-x
全美超级模特儿新秀大赛什么时候播出啊？,全美超级模特儿新秀大赛,播映,the cw,2009年3月4日－2009年（美国）
倩女幽魂是什么公司制片的？,倩女幽魂,制片商,电影工作室 新艺城,温嘉文 钟珍 叶百全 周国忠
钨丝熔点是多少？,钨,熔点,3410±20℃,猪肉要新鲜。
我是歌手的主持人是谁啊？,我是歌手,主持人,李素罗、尹道贤、尹钟信、朴明秀、卢洪哲、郑真英,萧贺硕
你知道埃德政府是什么名字吗？,埃德,政府,sonja edvardsen（工党）,20个有野心的国王
狱中题壁什么时候写的？,狱中题壁,创作时间,1922年,《列朝诗集》
我想知道埃迪·约翰逊是由多高啊？,埃迪·约翰逊,登录体重,180英磅（82千克）,6英尺2英寸（1.88米）
液体刀是什么疗法啊？,液体刀,基础,药刀疗法,风湿
你知道光是谁写的词吗？,光,词曲,李圣杰,杨瑞代
你知道今夜谁来共舞是谁写的词吗？,今夜谁来共舞,作词者,蔣慧琪,被子植物门(magnoliophyta)
台北联营公车218路线是在什么地方开始的？,台北联营公车218路线,路线资讯,新北投,万华
"你知道2-氨基-4-甲基-6-甲氧基-1,3,5-三嗪的CAS号是什么吗？","2-氨基-4-甲基-6-甲氧基-1,3,5-三嗪",cas号,1668-54-8,140.14
你知道岛的外语怎么拼吗？,岛,英文,island,日版
你知道第一时间在什么电视台播出吗？,第一时间,播出频道,辽宁广播电视台,英属香港 1983年
你知道唐河在什么地方吗？,唐河,河口,河北安新县,山西浑源、灵丘、河北保定市
你知道陈杨波是什么时候开始火的吗？,陈杨波,出道地区,内地,仙女湖
你知道中国历代帝王传（2011版）卖多少钱啊？,中国历代帝王传（2011版）,纸书价格,27.8,2
你知道圣伯多禄圣保禄主教座堂是什么风格的啊？,圣伯多禄圣保禄主教座堂,建筑风格,新哥特式,香港
荷载频遇值这个的范围是什么啊？,荷载频遇值,2,一般在10％以内,国际标准iso2394:1998
你知道秦艽是什么吗？,秦艽,亚 科,龙胆亚科 subfam. gentianoideae,大花秦艽
你知道远大医药一共有多少资产吗？,远大医药,营收,19亿元,30亿元
你找道白藤江之战参加了多少人啊？,白藤江之战,参战方兵力,南汉10000人 交趾不详,南汉，交趾
你知道蕨麻是什么类型的吗？,蕨麻,亚 目,蔷薇亚目,原始花被亚纲
关于加强义务教育阶段农村留守儿童关爱和教育工作的意见是用于什么人群？,关于加强义务教育阶段农村留守儿童关爱和教育工作的意见,适用对象,农村留守儿童,教基一〔2013〕1号
你知道品牌视角是什么吗？,品牌视角,时长,电视版10分钟，网络版30分钟,苹果
叶抱伊蚊的中文名字是什么啊？,叶抱伊蚊,中文科名,蚊科,双翅目
重庆市人民政府办公厅关于市政府领导工作分工的通知是什么文字号啊？,重庆市人民政府办公厅关于市政府领导工作分工的通知,发文字号,渝府办发〔2013〕223号[1],重庆市人民政府办公厅[1]
台中市火车站都有什么啊？,台中市,火车站,台中车站、泰安车站、丰原车站等,"49,293人次[2]，第2名（2014年）"
佐罗，一个传奇的开始是谁翻译的啊？,佐罗，一个传奇的开始,译 者,赵德明,漫画第3话、动漫第2集
你知道敬礼有什么意思吗？,敬礼,释义2,用于书信结尾表示尊敬,行礼表示尊敬
西原特别区在什么地方啊？,西原,特别区,北区,2006年6月
你知道动机与效果是什么吗？,动机与效果,关于,道德,相对剥夺理论、新社会运动理论等
我想知道第12届中国光伏大会暨国际光伏大会开到什么时候啊？,第12届中国光伏大会暨国际光伏大会,结束时间,2012年9月7日14：00,2012年9月3日—4日
我想知道胡蜂号航空母舰的排水量是多大？,胡蜂号航空母舰,吃水,8.7米,27500吨
海略ISO31166是什么码？,海略,iso 3166码,no-1515,2小时
2013年12月永宁站的日进出人次是多少排名第几？,永宁站,日进出人次,"29,806[1]，第49名（2013年12月）",2009年
你知道狗皮膏药是什么意思吗？,狗皮膏药,比喻,骗人的货色,中医用狗皮膏药消肿止痛
我想知道九龙巴士15a线的分段收费站点是什么啊？,九龙巴士15a线,分段收费站点 （去程）,龙翔道往慈云山（北）：hk$5.1,宏光道往平田：hk$5.1 观塘市中心往平田：hk$4.5
你知道出口带宽 是什么意思吗？,出口带宽,带宽,是宽带负载能力,前出师表/后出师表
你知道中国人民银行的机构是什么吗？,中国人民银行,机构沿革,机构沿革,人民银行总行派出机构
你知道留在海边的脚印的颜色是什么吗？,留在海边的脚印,颜 色,彩色,苹果属
动物园交通枢纽是什么？,动物园交通枢纽,起造日期,2001年12月7日[1],优质低碳钢丝（铁丝）
你知道神雕侠侣的歌曲是什么吗？,神雕侠侣,插曲,陈翔、张馨予《问世间》,《神话.情话》
球座尾孢的拉丁是什么啊？,球座尾孢,拉丁纲名,fungi imperficti,moniliales
你知道陈皮嫩鸡是什么特点吗？,陈皮嫩鸡,特点2,麻辣香嫩,色泽红亮
嚼头的意思是什么啊？,嚼头,解释2,嚼起来有韧性,指经得起咀嚼的厚味
你知道子统一汉字是什么吗？,子,统一汉字,u+5b50,宁
你知道布里斯托尔城2011年至2012年球季的首席射手是谁啊？,布里斯托尔城2011年至2012年球季,首席射手,联赛： 乔纳森·斯特德 （jonathan stead，9球） 所有赛事： 乔纳森·斯特德 （jonathan stead，9球）,英格兰
北区马科恩-赖肖尔表记法是谁啊？,北区,• 马科恩-赖肖尔表记法,puk-ku,2003年第二轮第22位被76人队选中
歼-10首飞时间是什么时候啊？,歼-10,首飞,1998年3月23日,2008年12月
大安区行政区是属于谁管辖啊？,大安区,行政区管辖,台中市,1949 年—1954 年
尼尔斯·玻尔影响了谁啊？,尼尔斯·玻尔,施影响于,维尔纳·海森堡 沃尔夫冈·泡利 保罗·狄拉克 莉泽·迈特纳 马克斯·德尔布吕克 和其他多人,欧内斯特·卢瑟福 en:harald høffding
长城x10的输入接口是多少？,长城x10,输出接口,双usb输出,micro usb
冬天里的革命的丛书名是什么？,冬天里的革命,丛书名,中经欧博管理书系,1993年7月15日
中国（桂林）运通国旅国际会议奖励中心主要干什么工作的啊？,中国（桂林）运通国旅国际会议奖励中心,专注,为境内外跨国公司,会奖服务领域的品牌推广
山东省长我是谁啊？,山东,省长,郭树清,10200人（教职工，含威海校区和3所附属医院）[7]
尼美舒利的药代动力学性质是什么啊？,尼美舒利,药代动力学性质,nan,
玉米秸秆粉碎机有什么特征吗？,玉米秸秆粉碎机,特点1,结构合理、移动方便,自动喂料、安全可靠
上海市文化广播影视管理局什么地方管啊？,上海市文化广播影视管理局,组织上级机构,上海市人民政府,中华人民共和国文化部
南区的管辖区是什么？,南区,• 下辖行政区,14洞,台南市
我想知道古巴国家足球队fifa是什么啊？,古巴国家足球队,fifa代码,cub,92（2011年11月）
松子坡里自然村的收入靠什么？,松子坡里自然村,收入,种植业,8万余亩
李安是谁什么的啊？,李安,生肖,马,中国
孙悟空有什么技能啊？,孙悟空,绝技,七十二变、筋斗云、火眼金睛等,七十二变、法天象地、筋斗云、火眼金睛
1889年基督进入布鲁塞尔他的属地在哪？,1889年基督进入布鲁塞尔,属地,伦敦，柯隆内尔·l·弗兰克藏,32（2013年10月14日）
浙江省实施《中华人民共和国红十字会法》办法是什么时候通过的？,浙江省实施《中华人民共和国红十字会法》办法,通过日期,1997年9月1日,1997年9月9
你知道在中国古诗文是什么含义吗？,古诗文,含 义,中国古代的诗歌和散文,波兰驻华大使馆
我想知道fa是什么？,fa,性质,足球术语,电解电容的无用功率与有用功率比
你听过《因为有你》的歌曲是谁原唱的啊？,因为有你,歌曲原唱,j.p.m组合,平装
太平镇有什么著名景点？,太平镇,著名景点,成子湖,桫椤沟、老码头溶洞、月耳坝经果林、三佛寺、的蛟龙沟
苏亚雷斯是哪个运动队的？,苏亚雷斯,所属运动队,利物浦,美洲狮队
古城镇的经纬度是怎样的？,古城镇,地理、人口、经济,34°13′43″n 113°33′23″e / 34.22861°n 113.55626°e坐标：34°13′43″n 113°33′23″e / 34.22861°n 113.55626°e,"北靠进富利乡,南接莲山镇,西临龟石水库,柳家和富阳乡。"
《对酒》是谁写的？,对酒,作 者,曹操,余华 著
《我们》的编曲者是谁？,我们,编曲,丁炜,余华 著
《我爱你》这首歌有多长时间？,我爱你,歌曲时长,03:16,平装
珨字有多少笔？,珨,笔画,10,ji zi
厄瑞玻斯是什么神？,厄瑞玻斯,所属,原始神祇,古希腊神话
城隍庙占地面积是多少？,城隍庙,占地,4000平方米,3610平方米
动画片小智的配音是谁？,小智,配音,竹内顺子,我和b哥轮智妈 还有谁？
《粉红豹》的imdb是多少？,粉红豹,imdb编码,tt0383216,彩色
珨字部首的笔画是多少？,珨,部首笔划,4,ji zi
《无事生非》的导演是谁？,无事生非,导 演,martin hellberg,130000 万字
《我爱你》由谁负责作曲？,我爱你,作曲,苏颜ft默梁,平装
梦的偏旁是什么？,梦,部首,木,中国社会科学院文学研究所专家介绍，《红楼梦《石头记》流传，不幸的是八十回后竟“迷失无稿”。程伟元经“竭 力搜罗”补成全书，名为《绣像红楼梦》，于乾隆五十六年（1791年）由萃文书屋活字排印出版。》最初以抄本
你知道谁是东北大学现任校长吗？,东北大学,现任校长,井上明久,joseph e.aoun
《九日》属于什么体裁？,九日,体裁,七言律诗,彩色
《翅膀》是由谁演唱的？,翅膀,演唱者,胡夏,黄海波、杜志国、何赛飞、叶静、唐于鸿、甘婷婷、高斯
《帝尊》一共完成多少字数？,帝尊,完成字数,6127139,114分钟
你知道万达广场位于什么地方吗？,万达广场,所在地区,江门市,佛山市南海区桂城桂澜路东侧
《神雕侠侣》是什么时候播出的？,神雕侠侣,播出时间,2014年 每周三至周四晚22：00,由张纪中导演，刘亦菲、黄晓明主演的新版神雕侠侣，于2006年央视首播。
平壤之战最后的结果是什么？,平壤之战,结果,日军损失惨重,日本获胜
《魔神英雄传》的音乐是谁负责的？,魔神英雄传,音乐,兼崎顺一、门仓聡,苏州子恒网络有限公司
《埋伏》这个片子有多长？,埋伏,片 长,90分钟,114分钟
加班费是怎么算的？,加班费,标准,不低于工资的150%的工资报酬,劳动法和国家的有关规定
